failure_type,mandate_count,SmartHeuristic_recovered,SmartHeuristic_recovery_rate,SmartHeuristic_attempts,MLProbability_recovered,MLProbability_recovery_rate,MLProbability_attempts,MLExpectedValue_recovered,MLExpectedValue_recovery_rate,MLExpectedValue_attempts
insufficient_funds,265,31479.67,0.37735849056603776,1.7509433962264151,31538.969999999998,0.37735849056603776,1.7773584905660378,28856.719999999998,0.37735849056603776,1.8
mandate_expired_or_revoked,53,4234.749999999999,0.3584905660377358,2.018867924528302,7001.62,0.5094339622641509,1.8679245283018868,5566.36,0.4339622641509434,2.018867924528302
technical_failure,7,1041.98,0.7142857142857143,2.2857142857142856,678.0699999999999,0.2857142857142857,2.7142857142857144,678.0699999999999,0.2857142857142857,2.4285714285714284
unknown_or_ambiguous,4,312.76,0.5,2.25,312.76,0.5,2.0,51.05,0.25,3.0
