amount_bucket,mandate_count,SmartHeuristic_recovered,SmartHeuristic_recovery_rate,SmartHeuristic_attempts,MLProbability_recovered,MLProbability_recovery_rate,MLProbability_attempts,MLExpectedValue_recovered,MLExpectedValue_recovery_rate,MLExpectedValue_attempts
0-500,326,25723.63,0.3987730061349693,1.7423312883435582,24398.510000000002,0.38650306748466257,1.7791411042944785,24513.95,0.3987730061349693,1.7975460122699387
500-1000,91,24184.399999999998,0.37362637362637363,1.9230769230769231,24933.369999999995,0.38461538461538464,1.934065934065934,23012.28,0.37362637362637363,1.9230769230769231
