Feature,Coefficient,Magnitude
mandate_age_days,1.2833437876275362,1.2833437876275362
history_depth_days,-0.9071809443824146,0.9071809443824146
missingindicator_time_since_prev_failure_hours,-0.472520146678707,0.472520146678707
missingindicator_time_since_prev_success_hours,-0.3456455271281538,0.3456455271281538
raw_network_return_code_CODE_116_BAL,-0.2523736394338381,0.2523736394338381
hist_success_count,0.2501684754763359,0.2501684754763359
raw_network_return_code_ERR_CONNECTION_TIMEOUT,0.23169038438064501,0.23169038438064501
failure_category_insufficient_funds,-0.2298806866173114,0.2298806866173114
hist_success_rate_hour_bucket,0.2057801446012941,0.2057801446012941
hist_success_rate,0.2057801446012941,0.2057801446012941
hist_failure_count,-0.20532816198624157,0.20532816198624157
failure_category_UNKNOWN,0.18501084583323846,0.18501084583323846
raw_network_return_code_missing,0.18501084583323846,0.18501084583323846
missingindicator_hist_success_count,0.163294680390383,0.163294680390383
missingindicator_current_attempt_number,0.163294680390383,0.163294680390383
missingindicator_hist_success_rate_hour_bucket,0.163294680390383,0.163294680390383
missingindicator_hist_failure_count,0.163294680390383,0.163294680390383
missingindicator_hist_amount_std,0.163294680390383,0.163294680390383
missingindicator_hist_success_rate,0.163294680390383,0.163294680390383
missingindicator_hist_amount_mean,0.163294680390383,0.163294680390383
missingindicator_hist_payment_count,0.163294680390383,0.163294680390383
missingindicator_history_depth_days,0.163294680390383,0.163294680390383
raw_network_return_code_E0001_SYS,-0.13260751548462246,0.13260751548462246
missingindicator_hist_success_rate_day_bucket,0.11217285160379747,0.11217285160379747
hist_payment_count,-0.10080647419326533,0.10080647419326533
current_attempt_number,-0.10080647419326533,0.10080647419326533
raw_network_return_code_N51_FUNDS,-0.0965460355103279,0.0965460355103279
merchant_hist_payment_count,0.08506657909764467,0.08506657909764467
raw_network_return_code_E0099_UNKNOWN,0.08218853500930848,0.08218853500930848
prediction_mode_merchant,0.07503727452520406,0.07503727452520406
prediction_mode_customer,-0.07214497013489148,0.07214497013489148
time_until_candidate_hours,-0.059977813541824666,0.059977813541824666
time_since_prev_success_hours,-0.0493872307887452,0.0493872307887452
merchant_success_count,-0.046579574366588446,0.046579574366588446
candidate_weekday,-0.04295670632989646,0.04295670632989646
raw_network_return_code_ERR_INSUFFICIENT_FUNDS,-0.04128251725577818,0.04128251725577818
failure_category_unknown_or_ambiguous,0.04084805582237279,0.04084805582237279
failure_category_technical_failure,0.039179662227959926,0.039179662227959926
hist_amount_mean,-0.03749217526329041,0.03749217526329041
hist_success_rate_day_bucket,0.03646959248431968,0.03646959248431968
time_since_prev_failure_hours,-0.03233203839764176,0.03233203839764176
raw_network_return_code_ERR_GATEWAY,0.029571531214576043,0.029571531214576043
failure_category_mandate_expired_or_revoked,-0.029506288513059423,0.029506288513059423
merchant_success_rate,0.02357518573049765,0.02357518573049765
merchant_success_rate_hour_bucket,0.02357518573049765,0.02357518573049765
candidate_day_of_month,0.01970555035736026,0.01970555035736026
hist_amount_std,0.018086075008838198,0.018086075008838198
merchant_history_depth_days,-0.014214347422362147,0.014214347422362147
missingindicator_merchant_hist_payment_count,0.009367100073806625,0.009367100073806625
missingindicator_merchant_history_depth_days,0.009367100073806625,0.009367100073806625
missingindicator_merchant_success_rate_hour_bucket,0.009367100073806625,0.009367100073806625
missingindicator_merchant_success_count,0.009367100073806625,0.009367100073806625
missingindicator_merchant_success_rate,0.009367100073806625,0.009367100073806625
amount,-0.005797973463534543,0.005797973463534543
prediction_mode_population,0.002759284362888498,0.002759284362888498
candidate_hour,0.0,0.0
