segment,version,count,success_rate,brier_score,log_loss,roc_auc
0 Events (Merchant Fallback),v1.0 (Old),67,0.4925373134328358,0.28988620624472494,0.7811986223826372,0.535650623885918
0 Events (Merchant Fallback),v1.1 (New),67,0.4925373134328358,0.2521457502313653,0.6975303836343688,0.5249554367201426
1-2 Events (Merchant Fallback),v1.0 (Old),102,0.4803921568627451,0.28862538060882503,0.7791343826039625,0.33808240277242974
1-2 Events (Merchant Fallback),v1.1 (New),102,0.4803921568627451,0.2336741535817831,0.6600999431562048,0.6445899114362726
3+ Events (Customer Mode),v1.0 (Old),1006,0.34393638170974156,0.17306809885010846,0.5191799684934513,0.7869635662988265
3+ Events (Customer Mode),v1.1 (New),1006,0.34393638170974156,0.1735386629190345,0.5208795227903652,0.7848835172534594
