,count,success_rate,mean_prob,brier,log_loss,roc_auc
Masked (Current),102.0,0.4803921568627451,0.32581153048480277,0.28862538060882503,0.7791343826039625,0.33808240277242974
Unmasked (Full),102.0,0.4803921568627451,0.46325790176541914,0.22829450557103612,0.6480211779646525,0.6634578359645745
Global Baseline,102.0,0.4803921568627451,0.3642553191489363,0.2631032975616684,0.7205088050532854,0.5
Merchant Baseline,102.0,0.4803921568627451,0.5281321380899386,0.2578079012946967,0.7089538246572534,0.43800539083557954
